data,ug_mean,ug_max,ug_min,pollutionPM,ug_max2,
1/1/2016,45.2173913,101.7,25.4,42.2,101.7,101.7
1/2/2016,47.00833333,79.6,30.5,24.8,79.6,79.6
1/3/2016,51.44166667,82.3,27.9,,82.3,82.3
1/4/2016,56.5,90.9,30.4,68,90.9,90.9
1/5/2016,38.07083333,49.4,22.9,90.3,49.4,49.4
1/6/2016,27.62916667,49.5,11.4,74.8,49.5,49.5
1/7/2016,57.61666667,66.1,48.5,61.1,66.1,66.1
1/8/2016,37.34583333,69.7,21.3,65.2,69.7,69.7
1/9/2016,94.02083333,115.1,73.8,40.8,115.1,115.1
1/10/2016,79.925,113,56.2,43.3,113,113
1/11/2016,66.6625,98.1,37.7,55.4,98.1,98.1
1/12/2016,24.40869565,40.7,14.6,53,40.7,40.7
1/13/2016,79.375,89,65.2,37.7,89,89
1/14/2016,38.2,70.6,24.3,29.7,70.6,70.6
1/15/2016,45.93333333,73.9,29.8,57,73.9,73.9
1/16/2016,80.7875,102.8,65.3,40.4,102.8,102.8
1/17/2016,97.63333333,123.3,38,93.2,123.3,123.3
1/18/2016,46.41666667,65.8,24.6,81.1,65.8,65.8
1/19/2016,50.22916667,92.5,34.9,64.8,92.5,92.5
1/20/2016,40.41666667,58.5,29.3,79.7,58.5,58.5
1/21/2016,26.54166667,38.8,16.5,36.3,38.8,38.8
1/22/2016,40.375,65.4,22.6,48.4,65.4,65.4
1/23/2016,38.77291667,64.25,23.15,82.6,64.25,64.25
1/24/2016,37.17083333,63.1,23.7,92.2,63.1,63.1
1/25/2016,21.74583333,35.3,7.6,49.1,35.3,35.3
1/26/2016,68.23333333,77.1,57.7,49.6,77.1,77.1
1/27/2016,86.1125,131.8,58.8,38.2,131.8,131.8
1/28/2016,79.65833333,126.2,61.9,26,126.2,126.2
1/29/2016,59.625,80.4,47.8,41.3,80.4,80.4
1/30/2016,67.8625,116.2,51,37.1,116.2,116.2
1/31/2016,38.30416667,74.2,21.9,20.7,74.2,74.2
2/1/2016,43.75416667,73.8,14.9,31.2,73.8,73.8
2/2/2016,29.1625,44.2,13.5,15.9,44.2,44.2
2/3/2016,13.24583333,20,7.3,23.8,20,20
2/4/2016,15.72916667,24.9,6.5,26.1,24.9,24.9
2/5/2016,32.5875,76.9,11.8,42.5,76.9,76.9
2/6/2016,36.50833333,66.6,23.5,51.2,66.6,66.6
2/7/2016,34.07916667,47.3,22.7,40.6,47.3,47.3
2/8/2016,25.85833333,31.8,21.9,42.3,31.8,31.8
2/9/2016,26.9,34.4,20.5,41.7,34.4,34.4
2/10/2016,37.0875,51.9,26.6,23.6,51.9,51.9
2/11/2016,50.6875,57.9,42.9,27.9,57.9,57.9
2/12/2016,48.15416667,73.6,31.1,35.5,73.6,73.6
2/13/2016,49.32916667,65.3,32.2,35.1,65.3,65.3
2/14/2016,32.49583333,42.7,21.8,48.6,42.7,42.7
2/15/2016,26.39166667,46.5,18.6,58.5,46.5,46.5
2/16/2016,41.22916667,58.3,29.2,37.4,58.3,58.3
2/17/2016,33.74166667,43.5,23.1,,43.5,43.5
2/18/2016,39.68333333,52.2,30.5,,52.2,52.2
2/19/2016,43.73333333,72.7,32.6,29.6,72.7,72.7
2/20/2016,67.425,94.4,44.6,43.5,94.4,94.4
2/21/2016,54.08333333,77.8,20.5,22.6,77.8,77.8
2/22/2016,13.69166667,19.9,6.3,11.1,19.9,19.9
2/23/2016,33.85,57.7,14.7,44.8,57.7,57.7
2/24/2016,14.54347826,20,7.3,36.5,20,20
2/25/2016,16.80416667,31.2,8.4,48.1,31.2,31.2
2/26/2016,54.2625,177.5,8.2,68.4,177.5,177.5
